,dec,ra,vlsr_ms,vlsr_kms,S
"(5, 3)",290.9158956,14.51800069,57970.0103,57.97001025,0.3443
"(5, 3)",290.915926,14.51800888,56965.7152,56.96571523,0.024
"(6, 2)",290.9159003,14.51801042,53101.6480,53.10164803,0.0344
"(6, 3)",290.9158939,14.51800111,62900.4339,62.90043388,0.7111
"(6, 3)",290.9159262,14.51800959,62681.6685,62.68166847,0.13
"(7, 4)",290.9158986,14.51800816,60463.5009,60.46350094,0.0114
"(7, 5)",290.9158982,14.51801105,59292.2984,59.29229837,1.381
"(7, 6)",290.9170759,14.5182317,31490.5298,31.4905298,0.0667
"(7, 6)",290.9170768,14.51823206,32707.8166,32.70781661,0.0616
"(7, 6)",290.9170765,14.51823124,47600.7591,47.60075913,0.091
"(7, 7)",290.9170797,14.51823187,47110.8178,47.11081782,0.0439
"(7, 7)",290.9170811,14.51823057,48754.5474,48.75454739,0.04
"(7, 7)",290.9170758,14.51823158,47110.8178,47.11081782,0.4908
"(7, 7)",290.917076,14.5182316,46422.9095,46.42290954,0.2042
"(8, 5)",290.9158985,14.51800926,60346.1693,60.34616932,0.0926
"(9, 8)",290.9158975,14.51800925,54123.0121,54.12301205,0.1305
"(11, 9)",290.9170756,14.51823135,46468.4964,46.46849643,0.3522
"(11, 9)",290.916824,14.51822272,60696.4500,60.69645002,0.0834
"(11, 9)",290.9169891,14.51815923,59273.6547,59.27365466,0.0376
,,,,,